 ,AppMinder Provider ID#,Appt Type,Eclipse OPEN Provider ID#,AppMinder Message Tag ID
Barneby-Bellevue,400,NX,r421,1
,400,NC,r421,1
,400,NM,r421,1
,400,NZ,r421,1
,400,ALL-ELSE,r421, 
Barneby-Bellevue,400,NX,r431,1
,400,NC,r431,1
,400,NM,r431,1
,400,NZ,r431,1
,400,ALL-ELSE,r431, 
Barneby-Bellevue,400,NX,441,1
,400,NC,441,1
,400,NM,441,1
,400,NZ,441,1
,400,ALL-ELSE,441, 
Barneby-Seattle,500,NX,r521,1
,500,NC,r521,1
,500,NM,r521,1
,500,NZ,r521,1
,500,ALL-ELSE,r521, 
Barneby-Seattle,500,NX,r531,1
,500,NC,r531,1
,500,NM,r531,1
,500,NZ,r531,1
,500,ALL-ELSE,r531, 
Barneby-Seattle,500,NX,541,1
,500,NC,541,1
,500,NM,541,1
,500,NZ,541,1
,500,ALL-ELSE,541, 
McKevitt-Bellevue,444,NX,444,1
,444,NC,444,1
,444,NM,444,1
,444,NZ,444,1
,444,ALL-ELSE,444, 
McKevitt-Seattle,544,NX,544,1
,544,NC,544,1
,544,NM,544,1
,544,NZ,544,1
,544,ALL-ELSE,544, 
Miller-Bellevue,445,NX,445,1
,445,NC,445,1
,445,NM,445,1
,445,NZ,445,1
,445,ALL-ELSE,445, 
Miller-Seattle,545,NX,545,1
,545,NC,545,1
,545,NM,545,1
,545,NZ,545,1
,545,ALL-ELSE,545, 
